# mapping_set_id: https://github.com/bridgedb/tiwid/raw/refs/heads/main/artifacts/tiwid.sssom.tsv
# mapping_set_description: This Is Where Identifiers Die
# license: https://creativecommons.org/publicdomain/zero/1.0/
# curie_map:
#   cas: https://commonchemistry.cas.org/detail?cas_rn=
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   chemspider: https://bioregistry.io/chemspider:
#   ensembl: https://www.ensembl.org/id/
#   hgnc.symbol: https://www.genenames.org/data/gene-symbol-report/#!/symbol/
#   hmdb: http://www.hmdb.ca/metabolites/
#   IAO: http://purl.obolibrary.org/obo/IAO_
#   lipidmaps: http://www.lipidmaps.org/data/LMSDRecord.php?LMID=
#   molmedb: https://molmedb.upol.cz/mol/
#   omim: https://omim.org/MIM:
#   pmc: http://europepmc.org/articles/
#   ppr: https://europepmc.org/article/ppr/
#   pubchem.compound: https://pubchem.ncbi.nlm.nih.gov/compound/
#   pubmed: https://bioregistry.io/pubmed:
#   uniprot: http://purl.uniprot.org/uniprot/
#   wikidata: http://www.wikidata.org/entity/
#   wikipathways: http://www.wikipathways.org/instance/
subject_id	predicate_id	object_id	mapping_justification	mapping_date	author_id
lipidmaps:LMFA01050064	IAO:0100001	lipidmaps:LMFA02000130	semapv:ManualMappingCuration		
lipidmaps:LMFA01050065	IAO:0100001	lipidmaps:LMFA02000131	semapv:ManualMappingCuration		
lipidmaps:LMFA01050066	IAO:0100001	lipidmaps:LMFA02000132	semapv:ManualMappingCuration		
lipidmaps:LMFA01050067	IAO:0100001	lipidmaps:LMFA02000133	semapv:ManualMappingCuration		
lipidmaps:LMFA01050068	IAO:0100001	lipidmaps:LMFA02000134	semapv:ManualMappingCuration		
lipidmaps:LMFA01050069	IAO:0100001	lipidmaps:LMFA02000135	semapv:ManualMappingCuration		
lipidmaps:LMFA01050070	IAO:0100001	lipidmaps:LMFA02000136	semapv:ManualMappingCuration		
lipidmaps:LMFA01050085	IAO:0100001	lipidmaps:LMFA02000137	semapv:ManualMappingCuration		
lipidmaps:LMFA01050086	IAO:0100001	lipidmaps:LMFA02000138	semapv:ManualMappingCuration		
lipidmaps:LMFA01050087	IAO:0100001	lipidmaps:LMFA02000139	semapv:ManualMappingCuration		
lipidmaps:LMFA01050088	IAO:0100001	lipidmaps:LMFA02000140	semapv:ManualMappingCuration		
lipidmaps:LMFA01050089	IAO:0100001	lipidmaps:LMFA02000141	semapv:ManualMappingCuration		
lipidmaps:LMFA01050090	IAO:0100001	lipidmaps:LMFA02000142	semapv:ManualMappingCuration		
lipidmaps:LMFA01050091	IAO:0100001	lipidmaps:LMFA02000143	semapv:ManualMappingCuration		
lipidmaps:LMFA01050092	IAO:0100001	lipidmaps:LMFA02000144	semapv:ManualMappingCuration		
lipidmaps:LMFA01050093	IAO:0100001	lipidmaps:LMFA02000145	semapv:ManualMappingCuration		
lipidmaps:LMFA01050094	IAO:0100001	lipidmaps:LMFA02000146	semapv:ManualMappingCuration		
lipidmaps:LMFA01050103	IAO:0100001	lipidmaps:LMFA02000147	semapv:ManualMappingCuration		
lipidmaps:LMFA01050105	IAO:0100001	lipidmaps:LMFA02000148	semapv:ManualMappingCuration		
lipidmaps:LMFA01050107	IAO:0100001	lipidmaps:LMFA02000149	semapv:ManualMappingCuration		
lipidmaps:LMFA01050109	IAO:0100001	lipidmaps:LMFA02000150	semapv:ManualMappingCuration		
lipidmaps:LMFA01050110	IAO:0100001	lipidmaps:LMFA02000151	semapv:ManualMappingCuration		
lipidmaps:LMFA01050111	IAO:0100001	lipidmaps:LMFA02000152	semapv:ManualMappingCuration		
lipidmaps:LMFA01050112	IAO:0100001	lipidmaps:LMFA02000153	semapv:ManualMappingCuration		
lipidmaps:LMFA01050113	IAO:0100001	lipidmaps:LMFA02000154	semapv:ManualMappingCuration		
lipidmaps:LMFA01050114	IAO:0100001	lipidmaps:LMFA02000155	semapv:ManualMappingCuration		
lipidmaps:LMFA01050115	IAO:0100001	lipidmaps:LMFA02000156	semapv:ManualMappingCuration		
