#did	when	nextofkin
Q25532928		Q181136
Q66589558		Q181136
Q15643238		Q307661
Q7451911		Q2271580
Q72497418		Q10844270
Q27266198		Q17067265
Q72517465		Q27283784
Q65017088		Q28529717
Q105179463		Q55756695
Q72493881		Q57826857
Q24806507		Q72439517
Q104196969		Q72480351
Q83006404		Q82653035
Q12266236		Q161495
Q18967269		Q161495
Q3827556		Q415418
Q12415639		Q426220
Q24869954		Q2555245
Q27264119		Q3215899
Q104253357		Q3278285
Q81984948		Q4296324
Q56052821		Q6584634
Q72499958		Q7197255
Q17320546		Q17266280
Q72440858		Q27136996
Q12447779		Q190143
Q12829092		Q190143
Q72488106		Q190143
Q12435818		Q415421
Q74418405		Q415421
Q100145870		Q415421
Q11753320		Q616128
Q15628162		Q836793
Q56354367		Q4026741
Q65167830		Q4046265
Q65167210		Q5955531
Q18923058		Q11370588
Q20156239		Q11370588
Q24900956		Q11370588
Q27289075		Q18589467
Q27155780		Q22831374
Q55086553		Q27093571
Q72481039		Q27093571
Q70486463		Q27121587
Q72441432		Q65225230
Q27276604		Q6731395
Q15633294		Q6794110
Q15726078		Q6821699
Q20403357		Q6823531
Q27282775		Q6823984
Q3307930		Q6827783
Q4368851		Q6827783
Q11790428		Q6985503
Q24276427		Q7049784
Q27097759		Q7073093
Q28933757		Q7073093
Q104037966		Q7089956
Q72497972		Q7103624
Q86010964		Q7116108
Q81985433		Q7181332
Q10395565		Q7186527
Q109596132		Q7191060
Q65168077		Q7197283
Q86004627		Q7226506
Q86011266		Q7250421
Q65168391		Q7912521
Q15852494		Q7918002
Q65168398		Q7933523
Q28411476		Q8010655
Q27283215		Q8067153
Q18481515		Q8214251
Q109311844		Q8214251
Q27209717		Q9068429
Q56122391		Q9068429
Q13420258		Q9137074
Q72489474		Q9189980
Q98413088		Q9189980
Q104399396		Q9333047
Q18211846		Q9335140
Q27265013		Q9335140
Q27159677		Q9796963
Q15725615		Q10359556
Q67206098		Q10359556
Q27121185		Q10395580
Q21088215		Q10860573
Q12818678		Q10860583
Q13166902		Q10860583
Q19702877		Q10860583
Q27280323		Q10863668
Q65225241		Q10869281
Q56316309		Q11234144
Q25101739		Q11255995
Q11287678		Q11712146
Q48998778		Q11712146
Q27107302		Q11770828
Q25474050		Q11817016
Q65167655		Q12745351
Q27453019		Q12880346
Q72509282		Q12880346
Q20959175		Q13365705
Q18589001		Q14850809
Q20966913		Q14850809
Q16668686		Q15269707
Q31749234		Q15269711
Q65214987		Q15366934
Q113188934		Q15366934
Q30716049		Q15401966
Q4202979		Q15409425
Q12412875		Q223083
Q25589832		Q223083
Q72493173		Q278809
Q100146259		Q278809
Q2823235		Q312229
Q31070369		Q410441
Q20388946		Q413717
Q17335241		Q423211
Q25497111		Q423211
Q86009075		Q904464
Q74417141		Q2113676
Q69999876		Q2816006
Q65271759		Q2823204
Q15426221		Q3259317
Q65167417		Q4385221
Q27254021		Q15410192
Q5676926		Q15410282
Q72516737		Q15410885
Q28449762		Q27076117
Q72461126		Q27076117
Q27124312		Q27095636
Q106902901		Q63149264
Q72471073		Q67879666
Q82915620		Q70743412
Q82245028		Q72481033
Q82003763		Q72484395
Q82863388		Q82006024
Q20520903		Q629823
Q97232912		Q629823
Q3877361		Q804151
Q4321578		Q804151
Q9163233		Q804151
Q12247973		Q804151
Q15633925		Q804151
Q4202634		Q808221
Q12748711		Q808221
Q12414036		Q808801
Q86004608		Q822884
Q113245774		Q822884
Q17636070		Q836788
Q904138		Q857162
Q1891610		Q864681
Q15628363		Q866603
Q17152514		Q866603
Q12431009		Q905868
Q15643865		Q906025
Q25389522		Q906709
Q21099141		Q928378
Q2042857		Q964273
Q15628078		Q971847
Q48566712		Q4747074
Q48566806		Q4748447
Q48566671		Q5299119
Q111375551		Q5299119
Q48566709		Q7833392
Q48566809		Q22673321
Q48566789		Q39048038
Q111810610		Q39048038
Q65167538		Q987691
Q3667033		Q1069066
Q24870068		Q1069066
Q111511160		Q1074056
Q4445807		Q1074884
Q21087536		Q1074884
Q1958396		Q1082882
Q109285837		Q1099339
Q47442712		Q1117877
Q12460770		Q1123466
Q19810948		Q1123466
Q15410916		Q1142307
Q4484981		Q1182795
Q12858526		Q5898391
Q56052821		Q6584634
Q72502212		Q7249713
Q27108619		Q10859742
Q12717128		Q12555933
Q97300611		Q12555933
Q20968561		Q13848921
Q96745838		Q16959658
Q17320546		Q17266280
Q16598589		Q21547200
Q23927257		Q22082911
Q27117933		Q22807428
Q72486856		Q26841195
Q72496938		Q407883
Q72497726		Q411447
Q25531526		Q412293
Q86004514		Q706868
Q86006724		Q2587934
Q38133403		Q27077237
Q1223250		Q27077244
Q24897491		Q27077244
Q73481964		Q27166733
Q82862134		Q65225757
Q2823244		Q77250128
Q27103411		Q77250128
Q65168115		Q7277345
Q65168168		Q7361410
Q65168191		Q7424106
Q86011633		Q7433895
Q10361302		Q7553364
Q17330954		Q7553364
Q18211880		Q7553379
Q72508460		Q7559031
Q65168220		Q7559307
Q86011829		Q7636173
Q27231393		Q7636217
Q65168262		Q7671083
Q72516807		Q21099138
Q27281585		Q22807259
Q65225281		Q27279930
Q82913280		Q72466914
Q26846981		Q5988254
Q27263646		Q5988254
Q134030		Q6004010
Q12180727		Q6004128
Q12195146		Q6004128
Q47521706		Q6004128
Q48566677		Q6004128
Q18206892		Q6036777
Q6994133		Q6040896
Q20155774		Q6042242
Q65167714		Q6042242
Q16656022		Q6062315
Q11549073		Q6072218
Q30896477		Q6086277
Q16633719		Q6445839
Q55662924		Q123195
Q4152113		Q224896
Q12208861		Q224896
Q12822829		Q224896
Q25497159		Q327506
Q4352864		Q344942
Q9392629		Q344942
Q12818828		Q344942
Q31194475		Q344942
Q103861603		Q407595
Q25523825		Q411835
Q100701155		Q411835
Q72516826		Q417632
Q12430211		Q420786
Q86007138		Q553129
Q11753320		Q616128
Q27083008		Q6460424
Q97661634		Q6493750
Q65168174		Q6592038
Q65167779		Q6666648
Q72487757		Q6695342
Q27089013		Q7671096
Q65166979		Q7701687
Q76286004		Q7843228
Q22807571		Q7843285
Q100900484		Q7843285
Q56232384		Q7843939
Q2771641		Q1801
Q12825804		Q1801
Q12952191		Q1801
Q12966993		Q1801
Q13041429		Q1801
Q16042640		Q1801
Q19683397		Q1801
Q19747621		Q1801
Q19750019		Q1801
Q26841224		Q1801
Q65424655		Q1801
Q97197481		Q72827
Q25533371		Q274959
Q21086859		Q369682
Q1621664		Q473252
Q12557121		Q726004
Q103862485		Q726004
Q15628162		Q836793
Q15425828		Q905397
Q12428597		Q906027
Q27157173		Q1148372
Q72461267		Q1148372
Q3026072		Q1307024
Q23038873		Q1307024
Q6062297		Q1671954
Q109040578		Q1671954
Q18944658		Q1722299
Q16633988		Q1956032
Q12132745		Q1964898
